Région administrative,Département,Commune,Identifiant Muséofile,Nom officiel du musée,id_musee,date de création,Adresse,Adresse_2,Code Postal,URL,Latitude,Longitude,REF_Deps,geolocalisation,Date arrêté attribution appellation,imageLink
Île-de-France,Hauts-de-Seine,Boulogne-Billancourt,M0408,musée-jardin Paul-Landowski,(wd:Q3329026 33),,14 rue Max-Blondat,"14 rue Max-Blondat, 92100",92100,www.boulognebillancourt.com/loisirs/culture/les-musees/musee-paul-landowski,48.844261,2.246847,9201202,"48.844261, 2.246847",2003-02-01,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo_label_mus%C3%A9e_de_France.svg
Île-de-France,Hauts-de-Seine,Meudon,M0412,musée d'art et d'histoire de Meudon,(wd:Q3329618 34),,11 rue des Pierres,"11 rue des Pierres, 92190",92190,musee.meudon.fr/,48.806412,2.234894,9204801,"48.806412, 2.234894",2003-02-01,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9eartethistoiremeudon.jpg
Île-de-France,Hauts-de-Seine,Saint-Cloud,M1219,musée du Grand Siècle,(wd:Q64549730 35),,Caserne Sully,"Caserne Sully, 92210",92210,https://museedugrandsiecle.hauts-de-seine.fr/,48.83901,2.21992,,"48.83901, 2.21992",2022-12-20,http://commons.wikimedia.org/wiki/Special:FilePath/Caserne%20sully%20futur%20mus%C3%A9e.jpg
Île-de-France,Paris,Paris,M1102,maison de Balzac,(wd:Q547789 36),1949-01-01,47 rue Raynouard,"47 rue Raynouard, 75016",75016,www.maisondebalzac.paris.fr/,48.855398,2.280805,7511616,"48.855398, 2.280805",2004-07-08,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%20de%20Balzac%2C%20Paris%2016e%205.jpg
Île-de-France,Paris,Paris,M1109,musée du Général Leclerc de Hauteclocque et de la Libération de Paris - musée Jean-Moulin,(wd:Q1585909 37),1994-01-01,23 allée de la 2ème Division Blindée,"23 allée de la 2ème Division Blindée, 75015",75015,www.museeliberation-leclerc-moulin.paris.fr/,48.840614,2.319773,7511503,"48.840614, 2.319773",2004-07-08,http://commons.wikimedia.org/wiki/Special:FilePath/L%27entr%C3%A9e%20du%20mus%C3%A9e%20Jean%20Moulin%2C%20Paris.jpg
Île-de-France,Paris,Paris,M5071,musée des Plans-reliefs,(wd:Q2915606 38),1942-01-01,129 rue de Grenelle,"129 rue de Grenelle, 75007",75007,www.museedesplansreliefs.culture.fr/,48.858219,2.312885,7510702,"48.858219, 2.312885",2002-01-06,http://commons.wikimedia.org/wiki/Special:FilePath/Entr%C3%A9e%20Mus%C3%A9e%20des%20Plans-Reliefs%20%28Les%20Invalides%29.jpg
Île-de-France,Paris,Paris,M5084,musée de l'Histoire de l'immigration,(wd:Q1094332 39),2007-01-01,293 avenue Daumesnil,"293 avenue Daumesnil, 75012",75012,www.histoire-immigration.fr/,48.836753,2.390394,7511202,"48.836753, 2.390394",2006-11-17,http://commons.wikimedia.org/wiki/Special:FilePath/L%27exposition%20permanente%20de%20la%20CNHI.jpg
Île-de-France,Paris,Paris,M1115,musée Zadkine,(wd:Q2613771 40),1982-01-01,100 bis rue d'Assas,"100 bis rue d'Assas, 75006",75006,www.zadkine.paris.fr/,48.842793,2.333457,7510608,"48.842793, 2.333457",2004-07-08,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Zadkine.jpg
Île-de-France,Paris,Paris,M5026,musée national de la Marine,(wd:Q106448129 41),1827-01-01,17 place du Trocadéro,"17 place du Trocadéro, 75016",75016,www.musee-marine.fr/,48.862049,2.287502,7511618,"48.862049, 2.287502",2002-01-06,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20Palais%20Chaillot%20Mus%C3%A9e%20national%20de%20la%20Marine%20Entrance.jpg
Île-de-France,Paris,Paris,M5039,musée national Jean-Jacques-Henner,(wd:Q1955698 42),1924-01-01,43 avenue de Villiers,"43 avenue de Villiers, 75017",75017,www.musee-henner.fr/,48.883045,2.307689,7511701,"48.883045, 2.307689",2002-01-06,http://commons.wikimedia.org/wiki/Special:FilePath/Henner%20museum%20facade.jpg
Île-de-France,Paris,Paris,M1076,musée de l'Assistance publique - Hôpitaux de Paris,(wd:Q1998638 43),1934-01-01,10 rue des Fossés-Saint-Marcel,"10 rue des Fossés-Saint-Marcel, 75005",75005,www.aphp.fr/musee,48.838805,2.356007,7510517,"48.838805, 2.356007",2002-10-02,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20de%20l%27Assistance%20Publique.JPG
Île-de-France,Paris,Paris,M5003,musée de Cluny,(wd:Q1124095 44),1844-03-17,6 place Paul Painlevé,"6 place Paul Painlevé, 75005",75005,www.musee-moyenage.fr/,48.850437,2.344553,7510501,"48.850437, 2.344553",2002-01-06,http://commons.wikimedia.org/wiki/Special:FilePath/H%C3%B4tel%20de%20Cluny%2C%20Paris%2024%20April%202012.jpg
Île-de-France,Paris,Paris,M7003,Muséum national d'histoire naturelle,(wd:Q838691 45),1793-06-10,2 rue Buffon,"2 rue Buffon, 75005",75005,www.mnhn.fr/fr/collections/ensembles-collections/vertebres/anatomie-comparee,48.842168,2.359933,7510508,"48.842168, 2.359933",2002-01-06,http://commons.wikimedia.org/wiki/Special:FilePath/Grande%20galerie%20de%20l%27%C3%A9volution%2C%20Paris%2010%20April%202014.jpg
