item,itemLabel,imageLink
http://www.wikidata.org/entity/Q3330663,musée municipal des Capucins,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Municipal%20des%20Capucins.JPG
http://www.wikidata.org/entity/Q3329170,musée Gatien-Bonnet,http://commons.wikimedia.org/wiki/Special:FilePath/L140%20-%20Lagny-sur-Marne%20-%20Mus%C3%A9e%20Gatien%20Bonnet.JPG
http://www.wikidata.org/entity/Q2970121,château de Nemours,http://commons.wikimedia.org/wiki/Special:FilePath/Nemours%20Ch%C3%A2teau%20610.jpg
http://www.wikidata.org/entity/Q23600664,musée de Provins et du Provinois,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo_label_mus%C3%A9e_de_France.svg
http://www.wikidata.org/entity/Q3330504,musée départemental Stéphane-Mallarmé,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%20de%20St%C3%A9phane%20Mallarm%C3%A9e%20vue%20d%27ensemble%201.JPG
http://www.wikidata.org/entity/Q3329788,musée de l'Histoire vivante,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Histoire%20Vivante%20Montreuil%20Seine%20St%20Denis%202.jpg
http://www.wikidata.org/entity/Q23640566,musée municipal de Saint-Ouen,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo_label_mus%C3%A9e_de_France.svg
http://www.wikidata.org/entity/Q1955692,musée d'Art et d'Histoire Pissarro-Pontoise,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Camille%20Pissarro.jpg
http://www.wikidata.org/entity/Q23599751,musée Adrien-Mentienne,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Adrien%20Mentienne%20Bry%20Marne%202.jpg
http://www.wikidata.org/entity/Q3329963,musée de la Résistance nationale,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20R%C3%A9sistance%20Nationale%20Champigny%20Marne%204.jpg
http://www.wikidata.org/entity/Q23639850,musée de Saint-Maur-des-Fossés,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo_label_mus%C3%A9e_de_France.svg
http://www.wikidata.org/entity/Q3329993,musée de la batellerie et des voies navigables de Conflans-Sainte-Honorine,http://commons.wikimedia.org/wiki/Special:FilePath/Conflans-ste-honorine-musee-batellerie.jpg
http://www.wikidata.org/entity/Q107269421,Musée d'Art et d'Histoire de Poissy,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo_label_mus%C3%A9e_de_France.svg
http://www.wikidata.org/entity/Q3330439,musée du jouet,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20du%20jouet.jpg
http://www.wikidata.org/entity/Q23599717,musée Dunoyer de Segonzac,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo_label_mus%C3%A9e_de_France.svg
http://www.wikidata.org/entity/Q36362855,musée du château de Dourdan,http://commons.wikimedia.org/wiki/Special:FilePath/Dourdan%20%2891%29%2C%20ch%C3%A2teau%2C%20logis%20neuf.JPG
http://www.wikidata.org/entity/Q23599912,musée municipal d'Art et d'Histoire de Colombes,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Municipal%20d%27Art%20et%20d%27Histoire%20de%20Colombes.jpg
http://www.wikidata.org/entity/Q31203332,musée des travaux publics de Courbevoie,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo_label_mus%C3%A9e_de_France.svg
http://www.wikidata.org/entity/Q3329858,musée du Domaine départemental de Sceaux,http://commons.wikimedia.org/wiki/Special:FilePath/Parc%20de%20Sceaux2.jpg
http://www.wikidata.org/entity/Q2715373,musée Bourdelle,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20musee%20bourdelle%20maison.jpg
http://www.wikidata.org/entity/Q857276,musée d'Art moderne de Paris,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20d%27Art%20moderne%20de%20la%20Ville%20de%20Paris.jpg
http://www.wikidata.org/entity/Q167863,musée du quai Branly - Jacques-Chirac,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20du%20quai%20Branly%20-%2020150801%2016h07%20%2810629%29.jpg
http://www.wikidata.org/entity/Q1579504,musée d'Ennery,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20d%27Ennery%2002.jpg
http://www.wikidata.org/entity/Q1094302,musée de la musique,http://commons.wikimedia.org/wiki/Special:FilePath/Cit%C3%A9%20de%20la%20musique%20%28121%29.jpg
http://www.wikidata.org/entity/Q1128657,musée de la Chasse et de la Nature,http://commons.wikimedia.org/wiki/Special:FilePath/P1000961%20Paris%20III%20Rue%20des%20Archives%20Mus%C3%A9e%20de%20la%20chasse%20reductwk.JPG
http://www.wikidata.org/entity/Q743206,musée Picasso,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%203e%20H%C3%B4tel%20Sal%C3%A9%20640.jpg
http://www.wikidata.org/entity/Q1996069,musée de l'Armée,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20de%20l%27Arm%C3%A9e%2C%20Paris%204%20May%202019.jpg
http://www.wikidata.org/entity/Q1954498,musée Nissim-de-Camondo,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20%2875008%29%20H%C3%B4tel%20Mo%C3%AFse%20de%20Camondo%2005.JPG
http://www.wikidata.org/entity/Q2296362,musée Gustave-Moreau,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20mus%C3%A9e%20Gustave-Moreau%2C%2019%20mai%202013.jpg
http://www.wikidata.org/entity/Q23057803,musée de la Gendarmerie nationale de Melun,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9eGN1%20Domenjod%20140916.jpg
http://www.wikidata.org/entity/Q3578591,écomusée - Ferme du Coulevrain,http://commons.wikimedia.org/wiki/Special:FilePath/Ecomus%C3%A9e.jpg
http://www.wikidata.org/entity/Q3330084,musée de la ville de Saint-Quentin-en-Yvelines,http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Quentin%20en%20Yvelines%202012%207.jpg
http://www.wikidata.org/entity/Q1530976,musée français de la carte à jouer,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20de%20la%20carte%20%C3%A0%20jouer.jpg
http://www.wikidata.org/entity/Q3330182,musée des automates,http://commons.wikimedia.org/wiki/Special:FilePath/H%C3%B4tel%20Arturo%20Lopez%20Neuilly-sur-Seine%20002.jpg
http://www.wikidata.org/entity/Q1587628,musée national de Céramique,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20national%20de%20c%C3%A9ramique%20%28S%C3%A8vres%29%2003.jpg
http://www.wikidata.org/entity/Q2599177,maison de Victor Hugo,http://commons.wikimedia.org/wiki/Special:FilePath/PARIS%20Place%20des%20Vosges%2C%20Maison%20de%20Victor%20Hugo%202.jpg
http://www.wikidata.org/entity/Q640447,musée Carnavalet,http://commons.wikimedia.org/wiki/Special:FilePath/Carnavalet%20Par%C3%ADs%2010.JPG
http://www.wikidata.org/entity/Q43688220,musée Yves Saint Laurent Paris,http://commons.wikimedia.org/wiki/Special:FilePath/Fondation%20Pierre%20Berg%C3%A9%20%E2%80%93%20Yves%20Saint%20Laurent%2C%205%20avenue%20Marceau%2C%20Paris%2016e.jpg
http://www.wikidata.org/entity/Q59546080,musée des Beaux-Arts de la ville de Paris,http://commons.wikimedia.org/wiki/Special:FilePath/Petit%20Palais%20%40%20Paris%20%2834081651763%29.jpg
http://www.wikidata.org/entity/Q860994,musée national des Arts asiatiques - Guimet,http://commons.wikimedia.org/wiki/Special:FilePath/Musee%20Guimet%20en%202013%201.jpg
http://www.wikidata.org/entity/Q3329915,musée de la Légion d'honneur,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20Palais%20L%C3%A9gion-d%27Honneur%20Cour%202014%20B.jpg
http://www.wikidata.org/entity/Q3330523,musée des Peintres de Barbizon,http://commons.wikimedia.org/wiki/Special:FilePath/Barbizon%20musee%20ganne.JPG
http://www.wikidata.org/entity/Q23599848,musée Alfred-Bonno,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo_label_mus%C3%A9e_de_France.svg
http://www.wikidata.org/entity/Q17560765,musée national du Château de Fontainebleau,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Grand%20Escalier%20%C3%A0%20Fer%20de%20Cheval.jpg
http://www.wikidata.org/entity/Q82748,musée Bossuet,http://commons.wikimedia.org/wiki/Special:FilePath/Meaux%20140708%2001.jpg
http://www.wikidata.org/entity/Q611062,musée de la Grande Guerre du pays de Meaux,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20de%20la%20Grande%20Guerre%20de%20Meaux%2013.jpg
http://www.wikidata.org/entity/Q23600534,musée municipal de Moret-sur-Loing,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo_label_mus%C3%A9e_de_France.svg
http://www.wikidata.org/entity/Q3330518,musée départemental de Préhistoire d'Île-de-France,http://commons.wikimedia.org/wiki/Special:FilePath/Nemours---Entr%C3%A9e-Mus%C3%A9e-de-P.gif
http://www.wikidata.org/entity/Q3329532,musée d'Argenteuil,https://upload.wikimedia.org/wikipedia/commons/4/4e/Logo_label_mus%C3%A9e_de_France.svg
http://www.wikidata.org/entity/Q2420675,musée archéologique départemental du Val-d'Oise,http://commons.wikimedia.org/wiki/Special:FilePath/Guiry-en-Vexin%20-%20Musee.JPG
http://www.wikidata.org/entity/Q23639858,musée d'art et d'histoire Louis-Senlecq,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Louis-Senlecq%20l%27Isle-Adam.jpg
http://www.wikidata.org/entity/Q3329216,musée Jean-Jacques-Rousseau,http://commons.wikimedia.org/wiki/Special:FilePath/MontmorencyMus%C3%A9eRousseau.jpg
http://www.wikidata.org/entity/Q3329361,musée Tavet-Delacour,http://commons.wikimedia.org/wiki/Special:FilePath/Pontoise%20%2895%29%2C%20mus%C3%A9e%20Tavet-Delacour%2C%20h%C3%B4tel%20de%201477-83%2C%204%20rue%20Lemercier%20%28an.%20pr%C3%A9fecture%2C%20anc.%20tribunal%29.jpg
http://www.wikidata.org/entity/Q23641285,musée Émile Jean,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20%C3%89mile%20Jean%20-%20Villiers-sur-Marne%20%28FR94%29%20-%202022-03-14%20-%202.jpg
http://www.wikidata.org/entity/Q1230290,Le Belvédère,http://commons.wikimedia.org/wiki/Special:FilePath/Montfort-l%27Amaury%20Maison%20Ravel.jpg
http://www.wikidata.org/entity/Q3330662,musée municipal de Saint-Germain-en-Laye,http://commons.wikimedia.org/wiki/Special:FilePath/Conjurer%20Bosch.jpg
http://www.wikidata.org/entity/Q2946,château de Versailles,http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20du%20domaine%20de%20Versailles%20par%20ToucanWings%20-%20Creative%20Commons%20By%20Sa%203.0%20-%20083.jpg
