Région administrative,Département,Commune,Identifiant Muséofile,Nom officiel du musée,date de création,Adresse,Adresse_2,Code Postal,URL,Latitude,Longitude,REF_Deps,geolocalisation,Date arrêté attribution appellation
Île-de-France,Hauts-de-Seine,Boulogne-Billancourt,M0406,musée des années trente,,26 avenue André Morizet,"26 avenue André Morizet, 92100",92100,www.boulognebillancourt.com/loisirs/culture/les-musees/musee-des-annees-trente,48.836060,2.239201,9201201,"48.836060, 2.239201",2003-02-01
Île-de-France,Hauts-de-Seine,Boulogne-Billancourt,M1170,musée Paul-Belmondo,,14 rue Abreuvoir,"14 rue Abreuvoir, 92100",92100,www.boulognebillancourt.com/loisirs/culture/les-musees/musee-paul-belmondo,48.847462,2.232700,9201204,"48.847462, 2.232700",2007-03-26
Île-de-France,Hauts-de-Seine,Chelles,M0428,"musée des transports urbains, interurbains et ruraux",,1 rue Gabriel de Mortillet,"1 rue Gabriel de Mortillet, 77500",77500,amtuir.org/,48.87682,2.603374,7710802,"48.87682, 2.603374",2003-02-01
Île-de-France,Hauts-de-Seine,Clamart,M1126,fondation Arp,,21 rue des Châtaigniers,"21 rue des Châtaigniers, 92140",92140,www.fondationarp.org/,48.803529,2.244319,9202301,"48.803529, 2.244319",2004-03-09
Île-de-France,Hauts-de-Seine,Rueil-Malmaison,M5016,musée national de Malmaison et Bois-Préau,,Avenue du chateau de Malmaison,"Avenue du chateau de Malmaison, 92500",92500,musees-nationaux-malmaison.fr/chateau-malmaison/,48.873334,2.1689,9206301,"48.873334, 2.1689",2002-01-06
Île-de-France,Hauts-de-Seine,Saint-Cloud,M0416,musée des Avelines,,60 rue Gounod,"60 rue Gounod, 92210",92210,www.musee-saintcloud.fr/,48.842497,2.208286,9206401,"48.842497, 2.208286",2003-02-01
Île-de-France,Paris,Paris,M1202,musée d'art et d'histoire de l'hôpital Sainte-Anne,2016-01-01,1 rue Cabanis,"1 rue Cabanis, 75014",75014,musee-mahhsa.com,48.830264,2.340376,7511403,"48.830264, 2.340376",2016-05-26
Île-de-France,Paris,Paris,M1113,musée de la Vie romantique,1987-01-01,16 rue Chaptal,"16 rue Chaptal, 75009",75009,museevieromantique.paris.fr/fr,48.880899,2.333278,7510905,"48.880899, 2.333278",2004-07-08
Île-de-France,Paris,Paris,M5042,musée des Monuments français,1879-01-01,1 place du Trocadéro,"1 place du Trocadéro, 75016",75016,www.citedelarchitecture.fr/fr/article/le-musee-des-monuments-francais,48.862323,2.281879,7511606,"48.862323, 2.281879",2004-07-09
Île-de-France,Paris,Paris,M1108,musée Galliera,1895-01-01,10 avenue Pierre Ier de Serbie,"10 avenue Pierre Ier de Serbie, 75006",75006,www.palaisgalliera.paris.fr/,48.866136805463356,2.297248499625773,7511617,"48.866136805463356, 2.297248499625773",2004-07-08
